Date,Time,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Non-volatile PM10 (Hourly measured),Status,Volatile PM10 (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Non-volatile PM2.5 (Hourly measured),Status,Volatile PM2.5 (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
03/01/2020,02:00:00,2.65862,P ugm-3,17.91624,P ugm-3,21.99273,P ugm-3,15.3,N ugm-3 (FIDAS),No data,,No data,,7.665,P ugm-3 (Ref.eq),No data,,No data,,307.9,N deg,3.6,N ms-1,3.7,N degC
03/01/2020,03:00:00,1.92964,P ugm-3,10.01895,P ugm-3,12.97769,P ugm-3,15.225,P ugm-3 (FIDAS),No data,,No data,,7.524,P ugm-3 (Ref.eq),No data,,No data,,295,N deg,2.8,N ms-1,2.7,N degC
03/01/2020,04:00:00,1.76884,P ugm-3,11.65244,P ugm-3,14.36462,P ugm-3,13.525,P ugm-3 (FIDAS),No data,,No data,,6.84,P ugm-3 (Ref.eq),No data,,No data,,293.8,N deg,3,N ms-1,2.4,N degC
03/01/2020,05:00:00,3.40903,P ugm-3,22.06566,P ugm-3,27.29277,P ugm-3,12.75,P ugm-3 (FIDAS),No data,,No data,,6.368,P ugm-3 (Ref.eq),No data,,No data,,291.5,N deg,3.2,N ms-1,2.5,N degC
03/01/2020,06:00:00,4.08441,P ugm-3,17.06745,P ugm-3,23.33012,P ugm-3,10.125,P ugm-3 (FIDAS),No data,,No data,,5.354,P ugm-3 (Ref.eq),No data,,No data,,287.8,N deg,3.4,N ms-1,2.7,N degC
03/01/2020,07:00:00,8.04017,P ugm-3,33.93588,P ugm-3,46.26398,P ugm-3,11.55,P ugm-3 (FIDAS),No data,,No data,,5.566,N ugm-3 (Ref.eq),No data,,No data,,275.3,N deg,3,N ms-1,2.5,N degC
03/01/2020,08:00:00,10.58087,P ugm-3,44.45435,P ugm-3,60.67813,P ugm-3,12.75,P ugm-3 (FIDAS),No data,,No data,,5.991,P ugm-3 (Ref.eq),No data,,No data,,269.4,N deg,3.2,N ms-1,2.7,N degC
03/01/2020,09:00:00,12.44619,P ugm-3,57.64298,P ugm-3,76.72687,P ugm-3,12.075,P ugm-3 (FIDAS),No data,,No data,,5.991,P ugm-3 (Ref.eq),No data,,No data,,271.9,N deg,3.5,N ms-1,3.9,N degC
03/01/2020,10:00:00,22.35168,P ugm-3,62.2185,P ugm-3,96.4906,P ugm-3,13.95,P ugm-3 (FIDAS),No data,,No data,,6.722,P ugm-3 (Ref.eq),No data,,No data,,279,N deg,3.9,N ms-1,4.6,N degC
03/01/2020,11:00:00,21.22606,P ugm-3,55.2266,P ugm-3,87.77277,P ugm-3,13.225,P ugm-3 (FIDAS),No data,,No data,,6.085,P ugm-3 (Ref.eq),No data,,No data,,281.5,N deg,3.7,N ms-1,5.1,N degC
03/01/2020,12:00:00,16.59492,P ugm-3,44.49564,P ugm-3,69.94083,P ugm-3,10.9,N ugm-3 (FIDAS),No data,,No data,,5.236,P ugm-3 (Ref.eq),No data,,No data,,278.8,N deg,5.3,N ms-1,6.2,N degC
03/01/2020,13:00:00,13.86126,P ugm-3,37.44316,P ugm-3,58.6968,P ugm-3,9.325,P ugm-3 (FIDAS),No data,,No data,,4.741,P ugm-3 (Ref.eq),No data,,No data,,278.7,N deg,5.5,N ms-1,6.7,N degC
03/01/2020,14:00:00,16.43411,P ugm-3,42.01788,P ugm-3,67.2165,P ugm-3,10.525,P ugm-3 (FIDAS),No data,,No data,,5.731,P ugm-3 (Ref.eq),No data,,No data,,278.7,N deg,5.6,N ms-1,6.5,N degC
03/01/2020,15:00:00,16.08035,P ugm-3,41.71825,P ugm-3,66.37444,P ugm-3,13.35,P ugm-3 (FIDAS),No data,,No data,,6.769,P ugm-3 (Ref.eq),No data,,No data,,277.4,N deg,5.7,N ms-1,6.2,N degC
03/01/2020,16:00:00,11.19192,P ugm-3,37.17717,P ugm-3,54.33788,P ugm-3,12.4,N ugm-3 (FIDAS),No data,,No data,,6.439,P ugm-3 (Ref.eq),No data,,No data,,272.3,N deg,5.6,N ms-1,6.1,N degC
03/01/2020,17:00:00,11.83514,P ugm-3,42.77884,P ugm-3,60.92579,P ugm-3,11.725,P ugm-3 (FIDAS),No data,,No data,,6.25,P ugm-3 (Ref.eq),No data,,No data,,269.6,N deg,5.8,N ms-1,6.1,N degC
03/01/2020,18:00:00,15.01905,P ugm-3,42.00816,P ugm-3,65.03705,P ugm-3,12.925,P ugm-3 (FIDAS),No data,,No data,,7.052,P ugm-3 (Ref.eq),No data,,No data,,267,N deg,5.7,N ms-1,6.2,N degC
03/01/2020,19:00:00,10.13062,P ugm-3,24.7866,P ugm-3,40.32,P ugm-3,17.3,N ugm-3 (FIDAS),No data,,No data,,8.184,P ugm-3 (Ref.eq),No data,,No data,,267.8,N deg,5.9,N ms-1,6.2,N degC
03/01/2020,20:00:00,8.68339,P ugm-3,30.27484,P ugm-3,43.58918,P ugm-3,10.275,P ugm-3 (FIDAS),No data,,No data,,5.684,P ugm-3 (Ref.eq),No data,,No data,,268.8,N deg,6.3,N ms-1,6.3,N degC
03/01/2020,21:00:00,6.81807,P ugm-3,28.52838,P ugm-3,38.9826,P ugm-3,11.55,P ugm-3 (FIDAS),No data,,No data,,6.132,N ugm-3 (Ref.eq),No data,,No data,,265.2,N deg,6.1,N ms-1,6.4,N degC
03/01/2020,22:00:00,7.49344,P ugm-3,29.91994,P ugm-3,41.40973,P ugm-3,10.05,P ugm-3 (FIDAS),No data,,No data,,5.472,N ugm-3 (Ref.eq),No data,,No data,,265.1,N deg,6.2,N ms-1,6.3,N degC
03/01/2020,23:00:00,9.80901,P ugm-3,28.44984,P ugm-3,43.49012,P ugm-3,11,N ugm-3 (FIDAS),No data,,No data,,5.495,P ugm-3 (Ref.eq),No data,,No data,,263.3,N deg,5.9,N ms-1,6.4,N degC
03/01/2020,24:00:00,8.68339,P ugm-3,23.9346,P ugm-3,37.24894,P ugm-3,11.55,P ugm-3 (FIDAS),No data,,No data,,5.472,N ugm-3 (Ref.eq),No data,,No data,,265.2,N deg,5.9,N ms-1,6.4,N degC
04/01/2020,01:00:00,5.96537,P ugm-3,18.1317,P ugm-3,27.27848,P ugm-3,17.325,P ugm-3 (FIDAS),No data,,No data,,7.665,P ugm-3 (Ref.eq),No data,,No data,,267.9,N deg,5.8,N ms-1,6.3,N degC
04/01/2020,02:00:00,2.53207,P ugm-3,9.78982,P ugm-3,13.67227,P ugm-3,10.675,P ugm-3 (FIDAS),No data,,No data,,5.613,P ugm-3 (Ref.eq),No data,,No data,,268.7,N deg,5.8,N ms-1,7,N degC
